timestamp;cycle_id;type;action;ticket;price;lot;sl;tp;pnl;exit_reason;spread;atr;rsi;comment
2026.08.11 15:27:16;1786445808;hedge;close;118703867;4387.22;0.05;4387.02;0.00;4.30;hedge_reversal_giveback_cap;36;7.47;46.5;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 15:33:58;1786445808;main;close;118703570;4388.13;0.03;4398.12;4360.62;-15.03;time_loss_exit;36;7.30;47.7;
2026.08.11 15:50:30;1786445809;main;open;118711262;4391.88;0.03;4406.88;4369.38;0.00;;36;6.41;52.2;SELL OCO
2026.08.11 15:50:31;1786445809;hedge;open;118711626;4395.17;0.05;4392.17;0.00;0.00;;36;6.41;52.3;HedgePend BUY_STOP
2026.08.11 15:51:24;1786445809;hedge;close;118711626;4395.06;0.05;4392.17;0.00;-0.55;hedge_reversal_giveback_cap;36;6.55;57.0;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 16:00:39;1786445809;main;close;118711262;4397.05;0.03;4406.88;4369.38;-15.51;time_loss_exit;36;5.50;58.8;
2026.08.11 16:17:03;1786445810;main;open;118718368;4388.27;0.03;4400.27;4365.77;0.00;;36;5.52;45.0;SELL OCO
2026.08.11 16:17:04;1786445810;hedge;open;118718784;4390.94;0.05;4387.94;0.00;0.00;;36;5.53;45.0;HedgePend BUY_STOP
2026.08.11 16:18:39;1786445810;main;close;118718368;4386.03;0.03;4386.26;4365.77;6.72;tiered_profit_trail;36;5.70;42.8;
2026.08.11 16:24:03;1786445811;main;open;118721090;4386.99;0.03;4398.99;4364.49;0.00;;36;5.90;44.3;SELL OCO
2026.08.11 16:25:02;1786445811;main;close;118721090;4384.18;0.03;4384.18;4364.49;8.43;broker_side_close(sl_or_tp_hit);33;5.51;41.0;[sl]
2026.08.11 16:46:47;1786445812;main;open;118728386;4377.93;0.03;4365.93;4400.43;0.00;;36;6.13;39.8;BUY OCO
2026.08.11 16:46:48;1786445812;hedge;open;118728874;4374.58;0.05;4377.58;0.00;0.00;;36;6.13;39.8;HedgePend SELL_STOP
2026.08.11 16:55:12;1786445812;main;close;118728386;4381.34;0.03;4381.34;4400.43;10.23;broker_side_close(sl_or_tp_hit);36;6.07;44.8;[sl]
2026.08.11 17:04:29;1786445813;main;open;118732693;4382.08;0.04;4394.08;4359.58;0.00;;36;6.18;45.7;SELL OCO
2026.08.11 17:04:29;1786445813;hedge;open;118733804;4385.29;0.05;4382.29;0.00;0.00;;36;6.18;45.8;HedgePend BUY_STOP
2026.08.11 17:07:19;1786445813;main;close;118732693;4379.80;0.04;4379.80;4359.58;9.12;broker_side_close(sl_or_tp_hit);33;6.11;43.0;[sl]
2026.08.11 17:19:32;1786445814;main;open;118736920;4378.87;0.04;4393.87;4356.37;0.00;;36;5.57;42.5;SELL OCO
2026.08.11 17:19:32;1786445814;hedge;open;118737239;4382.14;0.05;4379.14;0.00;0.00;;36;5.57;42.5;HedgePend BUY_STOP
2026.08.11 17:22:53;1786445814;hedge;close;118737239;4382.17;0.05;4381.93;0.00;0.15;hedge_reversal_giveback_cap;36;5.42;47.3;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 17:29:37;1786445814;main;close;118736920;4382.78;0.04;4393.87;4356.37;-15.64;time_loss_exit;36;4.93;47.9;
2026.08.11 19:00:03;1786445815;main;open;118758921;4368.42;0.04;4383.42;4345.92;0.00;;36;3.51;28.5;SELL OCO
2026.08.11 19:00:03;1786445815;hedge;open;118759096;4371.62;0.05;4368.62;0.00;0.00;;36;3.53;28.3;HedgePend BUY_STOP
2026.08.11 19:02:34;1786445815;main;close;118758921;4364.80;0.04;4364.80;4345.92;14.48;broker_side_close(sl_or_tp_hit);34;3.83;24.9;[sl]
2026.08.11 19:23:14;1786445816;main;open;118765819;4364.68;0.03;4349.68;4387.18;0.00;;36;4.13;32.1;BUY OCO
2026.08.11 19:25:00;1786445816;hedge;open;118766399;4361.23;0.05;4364.23;0.00;0.00;;36;3.87;32.2;HedgePend SELL_STOP
2026.08.11 19:29:56;1786445816;hedge;close;118766399;4361.38;0.05;4362.04;0.00;-0.75;hedge_trail_close;36;4.22;29.2;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 19:34:38;1786445816;main;close;118765819;4367.36;0.03;4367.36;4387.18;8.04;broker_side_close(sl_or_tp_hit);36;4.38;40.9;[sl]
2026.08.11 19:44:11;1786445817;main;open;118769865;4370.99;0.03;4358.99;4393.49;0.00;;36;4.06;46.1;BUY OCO
2026.08.11 19:44:11;1786445817;hedge;open;118770661;4367.70;0.05;4370.70;0.00;0.00;;36;4.06;46.1;HedgePend SELL_STOP
2026.08.11 20:05:00;1786445817;hedge;open;118774487;4363.86;0.05;4366.86;0.00;0.00;;34;3.70;40.4;HedgePend SELL_STOP
2026.08.11 20:05:26;1786445817;main;close;118769865;4365.98;0.03;4358.99;4393.49;-15.03;time_loss_exit;33;3.77;39.2;
2026.08.11 20:17:31;1786445818;main;open;118776893;4362.90;0.04;4374.90;4340.40;0.00;;36;3.56;35.5;SELL OCO
2026.08.11 20:17:31;1786445818;hedge;open;118777377;4366.27;0.05;4363.27;0.00;0.00;;36;3.56;35.3;HedgePend BUY_STOP
2026.08.11 20:24:20;1786445818;hedge;close;118777377;4366.81;0.05;4366.50;0.00;2.70;hedge_reversal_giveback_cap;36;3.77;44.2;EA_Breakout_OCO_V7_1 HedgePend
2026.08.11 20:24:37;1786445818;main;close;118776893;4367.90;0.04;4374.90;4340.40;-20.00;soft_sl_momentum;36;3.80;45.1;
2026.08.11 20:31:47;1786445819;main;open;118780295;4371.97;0.03;4356.97;4394.47;0.00;;36;3.72;52.4;BUY OCO
